%x,Curve1
-0.0980392,-0.000285714
-0.0802139,0
-0.0356506,9.52381e-05
-0.013369,9.52381e-05
0.00445633,0.000380952
0.026738,0.000380952
0.0467914,0.000571429
0.0690731,0.000666667
0.0891266,0.000761905
0.111408,0.000857143
0.13369,0.000857143
0.155971,0.000857143
0.178253,0.000857143
0.200535,0.000761905
0.21836,0.00047619
0.256239,-0.000285714
0.271836,-0.000666667
0.285205,-0.00142857
0.300802,-0.002
0.311943,-0.00266667
0.323084,-0.00295238
0.338681,-0.00361905
0.354278,-0.00428571
0.372103,-0.00466667
0.392157,-0.00466667
0.409982,-0.00428571
0.423351,-0.00371429
0.43672,-0.00304762
0.447861,-0.00228571
0.456774,-0.00142857
0.467914,0.000857143
0.474599,0.00171429
0.479055,0.00247619
0.483512,0.00342857
0.490196,0.00428571
0.499109,0.00495238
0.508021,0.00419048
0.516934,0.00333333
0.530303,0.00266667
0.534759,0.00180952
0.541444,0.000952381
0.559269,-0.000571429
0.568182,-0.00133333
0.577094,-0.00219048
0.588235,-0.00295238
0.603832,-0.00361905
0.623886,-0.00380952
0.641711,-0.00342857
0.65508,-0.0027619
0.670677,-0.00238095
0.686275,-0.00171429
0.701872,-0.00133333
0.724153,-0.0012381
0.746435,-0.0012381
0.76426,-0.00152381
0.786542,-0.00152381
0.806595,-0.00133333
0.824421,-0.000857143
0.840018,-0.000380952
0.844474,-9.52381e-05
0.866756,0
0.949198,0.000380952
0.949198,0.000380952
0.969251,0.000666667
0.969251,0.000666667
0.987077,0.000857143
0.987077,0.000857143
1.0049,0.0012381
1.0049,0.0012381
1.02718,0.0012381
1.02718,0.0012381
1.04724,0.00142857
1.04724,0.00142857
1.06729,0.0012381
1.06729,0.0012381
1.08957,0.0012381
1.08957,0.0012381
1.11185,0.0012381
1.11185,0.0012381
1.13414,0.0012381
1.13414,0.0012381
1.15419,0.00104762
1.15419,0.00104762
1.17647,0.00104762
1.17647,0.00104762
1.19652,0.000761905
1.19652,0.000761905
1.21435,0.000380952
1.21435,0.000380952
1.28788,-0.000285714
1.30348,-0.000857143
1.3213,-0.0012381
1.34358,-0.00133333
1.36364,-0.00152381
1.38146,-0.00180952
1.39929,-0.00209524
1.42157,-0.00209524
1.44162,-0.00190476
1.45945,-0.00152381
1.47504,-0.000857143
1.49955,0.000380952
1.5107,0.00114286
1.52184,0.00180952
1.53075,0.00266667
1.54189,0.00342857
1.5508,0.00428571
1.5664,0.0047619
1.582,0.00447619
1.59314,0.00380952
1.59982,0.00295238
1.60873,0.00209524
1.61765,0.00133333
1.6533,-0.000285714
1.67112,-0.000571429
1.68895,-0.000857143
1.709,-0.0012381
1.7246,-0.00161905
1.7402,-0.00209524
1.76025,-0.00238095
1.78253,-0.00238095
1.80481,-0.00228571
1.82264,-0.00190476
1.83824,-0.00152381
1.85606,-0.00104762
1.87389,-0.000666667
1.92291,0.000380952
1.94073,0.000666667
1.95856,0.000857143
1.97861,0.0012381
1.99866,0.00142857
2.01649,0.00161905
2.03877,0.00161905
2.0566,0.0012381
2.07665,0.00104762
2.0967,0.000761905
2.11453,0.000380952
2.15463,-0.000285714
2.17246,-0.000666667
2.19251,-0.000857143
2.21034,-0.0012381
2.23262,-0.00133333
2.2549,-0.00133333
2.27273,-0.00142857
2.29278,-0.00133333
2.31506,-0.0012381
2.33512,-0.00104762
2.35294,-0.000666667
2.37077,-0.000285714
2.41979,0.000380952
2.43984,0.000571429
2.45989,0.000761905
2.48217,0.000857143
2.50446,0.000857143
2.52451,0.000952381
2.54456,0.000761905
2.56239,0.000571429
2.58244,0.000380952
