%x,Curve1
0.733367,0.00482603
0.802548,0.00495209
0.894427,0.0051981
0.951716,0.00538107
1.0209,0.00550714
1.07791,0.00574856
1.12358,0.00593
1.15763,0.00610992
1.1914,0.00634828
1.23653,0.00664662
1.28165,0.00694495
1.32623,0.00736018
1.37081,0.0077754
1.43836,0.00825212
1.51862,0.0084966
1.57618,0.00862113
1.65753,0.00863184
1.72779,0.00852413
1.81023,0.00830105
1.8578,0.00807339
1.91699,0.00784726
1.98807,0.00756422
2.05943,0.00722273
2.13024,0.00699813
2.20133,0.00671509
2.26079,0.00643051
2.34322,0.00620744
2.43755,0.00592745
2.5316,0.00570591
2.66079,0.00543051
2.74295,0.00526589
2.86052,0.00498896
2.98916,0.00483045
3.11808,0.00461349
3.2932,0.00446109
3.47995,0.00431023
3.65454,0.00427472
3.85236,0.00424227
4.03829,0.00426673
