%x,Curve1,Curve2
-0.501202,0.246323,0.167961
-0.500444,0.249641,0.174772
-0.476132,0.356034,0.393155
-0.475751,0.357702,0.392203
-0.451081,0.336948,0.330571
-0.450536,0.334518,0.329211
-0.425773,0.224019,0.252895
-0.425606,0.22322,0.252379
-0.399936,0.100773,0.133879
-0.399746,0.0999966,0.133001
-0.372268,-0.0121688,0.0250706
-0.347932,-0.0896423,-0.0705171
-0.347821,-0.0898842,-0.0709505
-0.32229,-0.145852,-0.0976474
-0.297626,-0.167894,-0.123436
-0.248083,-0.157216,-0.17524
-0.247976,-0.157193,-0.175114
-0.198711,-0.111683,-0.116803
-0.149918,-0.0461883,-0.0590508
-0.10012,-0.0103493,-0.000108583
-0.100059,-0.0103363,-3.65269e-05
-0.0498799,0.000349288,-0.00421082
-0.000934371,-0.0228716,-0.00828247
-0.000431583,-0.0231101,-0.00859401
0.0489596,-0.0562377,-0.0391976
0.10019,-0.0777726,-0.0709409
0.100819,-0.0779117,-0.0713302
0.150891,-0.0889917,-0.0709414
0.200541,-0.0782901,-0.0705559
0.200587,-0.0782691,-0.0705555
0.249079,-0.0559805,-0.0625205
0.249631,-0.0557328,-0.062429
0.298798,-0.033677,-0.0500697
0.299883,-0.0331959,-0.0497968
0.348661,-0.0115742,0.0131192
0.349106,-0.0113766,0.0130654
0.398802,0.000479313,0.00705958
0.399354,0.000611065,0.00704271
0.424181,0.00635394,0.00628415
0.448418,0.0119603,0.00615917
0.448974,0.0129445,0.0061563
0.473385,0.0561513,0.0414816
0.473473,0.0563062,0.0418759
0.497678,0.156734,0.150934
0.49825,0.159104,0.153508
