%x,Curve1
-0.500521,0.0852741
-0.47484,0.236133
-0.45053,0.290549
-0.425766,0.27571
-0.400471,0.230452
-0.373992,0.187138
-0.349292,0.139937
-0.323421,0.0875597
-0.299304,0.0435936
-0.249268,-0.0281539
-0.199796,-0.0863103
-0.150251,-0.107573
-0.100684,-0.117833
-0.0511051,-0.12162
-0.00151815,-0.121524
0.0474989,-0.111073
0.0982945,-0.0967347
0.150271,-0.0823943
0.201059,-0.0719397
0.250666,-0.0614874
0.30086,-0.0529757
0.350466,-0.0431706
0.400081,-0.0288348
0.449696,-0.014499
0.475096,-0.00603541
0.499969,0.0341423
