%x,SRI,UT1,UT2,UT3
0.0686092,-0.000135729,0.000108183,-5.57999e-05,2.62009e-05
0.0810746,-7.01906e-05,0.000169346,1.63017e-05,6.55022e-05
0.11223,9.36096e-05,0.000217921,0.000196507,0.00016919
0.118469,0.000126414,0.00022657,0.000232597,0.000189956
0.124687,0.000158343,0.000257008,0.000268559,0.000247378
0.130526,0.000176754,0.000294885,0.000288505,0.00030131
0.149616,0.000232833,0.000418709,0.000353712,0.000370456
0.155843,0.00029512,0.000459104,0.000415998,0.000393013
0.162059,0.000353111,0.000476027,0.000478166,0.000433507
0.167909,0.000343287,0.000482045,0.000484946,0.000471616
0.173362,0.00033413,0.000487656,0.000491266,0.000505529
0.185813,0.000463201,0.000591729,0.000621126,0.000582969
0.197857,0.000629486,0.000699886,0.000746725,0.000682749
0.210322,0.000635371,0.000743107,0.000816638,0.000786026
0.210703,0.000635371,0.00074443,0.000818777,0.000786327
0.223181,0.000681585,0.000787692,0.000812227,0.000796155
0.235268,0.000693897,0.000862004,0.000870324,0.000805677
0.247711,0.000833635,0.00103427,0.000930131,0.000902939
0.257056,0.000999235,0.00116365,0.00113481,0.000975983
0.258178,0.00101944,0.00117918,0.00115939,0.000995451
0.272542,0.00126291,0.00135713,0.0013952,0.0012447
0.284612,0.00139264,0.00145196,0.00146819,0.00145415
0.297454,0.00147368,0.00150003,0.00154585,0.00147776
0.309552,0.00137886,0.00146548,0.00148463,0.0015
0.322048,0.00133516,0.00141193,0.0014214,0.00143361
0.332976,0.00130278,0.00142768,0.0014214,0.00137555
0.340371,0.00132049,0.00146189,0.0014214,0.00141109
0.37227,0.00171178,0.00160946,0.00168996,0.0016825
0.407593,0.00221874,0.00228603,0.00198734,0.00225313
0.372681,0.00171767,0.00161135,0.00169341,0.0016885
0.325953,0.00132358,0.0013952,0.0014214,0.00141286
0.307609,0.00139413,0.0014738,0.00149446,0.00149643
0.292394,0.00144175,0.0015131,0.00151525,0.00146846
0.26905,0.00120469,0.00132969,0.00133787,0.00118411
0.232146,0.000690716,0.000818777,0.000855317,0.000803217
0.194363,0.000580395,0.000687773,0.000710292,0.000653805
0.17687,0.000370146,0.000491266,0.000527859,0.000527351
0.157772,0.000314412,0.000471616,0.000435291,0.000405579
0.120408,0.000136609,0.000229258,0.000243813,0.000207865
0.0826051,-6.21438e-05,0.000176856,2.51544e-05,7.05959e-05
0.0639155,-0.000160406,8.51528e-05,-8.29488e-05,1.14025e-05
0.111867,9.17031e-05,0.000217418,0.000194409,0.000167984
0.124326,0.000157205,0.000254667,0.000266471,0.000244045
0.136791,0.000196507,0.000335523,0.000309905,0.000324003
0.149258,0.000229258,0.00041639,0.000352491,0.000369161
0.161701,0.000353712,0.000475659,0.00047459,0.000431178
0.173402,0.000334061,0.000487698,0.000491692,0.000505783
0.186622,0.000471616,0.000600813,0.00062956,0.000589669
0.198275,0.000635371,0.000701338,0.000749074,0.000686219
0.210751,0.000635371,0.000744595,0.000818752,0.000786364
0.222825,0.000681223,0.000786459,0.000812414,0.000795875
0.235687,0.000694323,0.000867802,0.000872337,0.00080895
0.248125,0.000838428,0.00104,0.000939192,0.000906173
0.259767,0.00104803,0.00120117,0.00118547,0.00102301
0.272188,0.00125764,0.00135435,0.00138938,0.00123855
0.27879,0.0013559,0.00140622,0.00143298,0.00135312
0.297473,0.0014738,0.00149998,0.00154576,0.00147779
0.309974,0.00137555,0.00146367,0.0014825,0.00149776
0.32168,0.00133624,0.00141351,0.00142326,0.00143556
0.334946,0.00129694,0.00143679,0.0014214,0.00138501
0.347018,0.00134934,0.00149264,0.00147735,0.00144304
0.365273,0.00161135,0.00157709,0.00163105,0.00158023
0.360232,0.001539,0.00155377,0.00158861,0.00150655
0.383536,0.00187346,0.00182112,0.0017848,0.00184716
0.397509,0.00207402,0.00209116,0.00190244,0.00208297
