%x,Curve1
-0.102131,-0.000285714
-0.0843694,0
0.00222025,9.52381e-05
0.0244227,0
0.224245,0
0.246448,-9.52381e-05
0.26865,-9.52381e-05
0.273091,-0.000380952
0.295293,-0.000380952
0.315275,-0.000571429
0.337478,-0.000666667
0.35746,-0.000857143
0.379663,-0.000857143
0.399645,-0.00104762
0.419627,-0.0012381
0.441829,-0.0012381
0.464032,-0.0012381
0.486234,-0.0012381
0.508437,-0.0012381
0.528419,-0.00114286
0.548401,-0.00104762
0.570604,-0.000857143
0.588366,-0.000571429
0.654973,0.000285714
0.674956,0.00047619
0.697158,0.00047619
0.719361,0.00047619
0.741563,0.00047619
0.779307,-0.000380952
0.794849,-0.000857143
0.812611,-0.0012381
0.825933,-0.00180952
0.841474,-0.00228571
0.857016,-0.00266667
0.876998,-0.00285714
0.899201,-0.00285714
0.919183,-0.00257143
0.925844,-0.00247619
0.943606,-0.00209524
0.954707,-0.00133333
0.968028,-0.000571429
0.98135,0.000380952
0.990231,0.00114286
1.00133,0.00190476
1.01243,0.00257143
1.02575,0.0032381
1.03464,0.004
1.04796,0.00466667
1.06572,0.0047619
1.08126,0.00428571
1.09236,0.00352381
1.09902,0.00266667
1.1079,0.00180952
1.11679,0.00104762
1.12789,-0.000571429
1.13677,-0.00133333
1.14565,-0.00209524
1.15897,-0.00285714
1.17229,-0.00342857
1.19227,-0.00371429
1.20782,-0.0032381
1.22114,-0.00247619
1.23002,-0.00171429
1.24112,-0.00104762
1.25444,0.000571429
1.26554,0.00142857
1.27442,0.00209524
1.29218,0.00219048
1.30773,0.00152381
1.31883,0.000857143
1.35213,-0.000380952
1.36989,-0.000857143
1.38766,-0.00114286
1.40542,-0.00114286
1.42762,-0.00104762
1.44538,-0.000761905
1.4698,0.000285714
1.48535,0.000761905
1.50089,0.00114286
1.52087,0.00104762
1.53863,0.000666667
1.55639,9.52381e-05
1.5786,0
1.6008,-9.52381e-05
1.62078,0
1.64076,0.000285714
1.66075,0.000666667
1.67851,0.00104762
1.69849,0.000857143
1.71625,0.000571429
1.7651,-0.000380952
1.7873,-0.000380952
1.8095,-0.000380952
1.82948,-0.00047619
1.84947,-0.000761905
1.86723,-0.0012381
1.88277,-0.00161905
1.90053,-0.00209524
1.92274,-0.00209524
1.94272,-0.00171429
1.95826,-0.00133333
1.9738,-0.000761905
2.00488,0.000285714
2.02043,0.000857143
2.03819,0.0012381
2.05373,0.00171429
2.06927,0.00238095
2.08703,0.0027619
2.10702,0.00295238
2.12256,0.00295238
2.14032,0.00257143
2.15142,0.00180952
2.16474,0.00114286
2.1825,-0.000285714
2.19583,-0.000952381
2.20693,-0.00171429
2.21581,-0.00247619
2.22913,-0.00266667
2.24911,-0.00295238
2.27131,-0.00295238
2.2913,-0.0027619
2.30462,-0.00238095
2.31794,-0.00180952
2.33348,-0.00114286
2.34458,-0.00047619
2.39565,9.52381e-05
2.41785,-9.52381e-05
2.44005,-9.52381e-05
2.46004,1.73472e-18
2.47114,0.000285714
2.4889,0.000857143
2.50444,0.00133333
2.51554,0.00209524
2.53552,0.00238095
2.55551,0.00219048
2.57105,0.00161905
2.58437,0.000952381
2.59991,0.000380952
