x,kvlcc2
-0.499717,0.00948684
-0.475029,0.00209328
-0.45024,-0.00209214
-0.425359,-0.00330417
-0.350605,-0.00337998
-0.300693,-0.000991807
-0.250064,-0.00059892
-0.200213,-0.000166934
-0.150367,0.000108556
-0.10053,7.10573e-05
-0.0499134,7.27076e-05
-7.55562e-05,7.43324e-05
0.049761,3.68336e-05
0.0995989,3.84585e-05
0.149424,-0.000351153
0.19925,-0.000740765
0.249061,-0.00159986
0.298903,-0.00148087
0.349553,-0.000383752
0.399429,0.000830706
0.4493,0.00188867
0.499161,0.00263365
0.517092,0.00329933
